id,redHSV,yellowHSV,greenHSV,cyanHSV,blueHSV,magentaHSV,redMean,greenMean,blueMean,redStdDev,greenStdDev,blueStdDev,skySegmentationPercent,pavementSegmentationPercent,waterSegmentationPercent,vegetationSegmentationPercent,buildingSegmentationPercent,otherSegmentationPercent,concreteSurface,grassSurface,asphaltSurface,woodSurface,brickSurface,gravelSurface,tilesSurface,rubber,buildingShade,treeShade,shadeProvision,restSpotOutdoorFurniture,waterFeature,thermalRatio
1,0.10432147,0.639497492,0.196459298,0.039823013,0.015928819,0.003969907,119.8124773,126.943153,93.45227575,69.97647384,66.26706403,68.94828315,3.06331983,7.11800733,0.0,75.50236304,14.30946181,0.006847994,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0
2,0.162872299,0.265815972,0.400878665,0.131408179,0.030192901,0.008831983,116.5842004,122.4331978,100.6222352,69.43153405,64.11430729,63.06148039,2.082995756,16.2734375,0.0,78.6007909,2.713541667,0.329234182,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0
3,0.049592978,0.511036362,0.244925733,0.141934799,0.04944782,0.003062307,118.3201861,125.8542168,102.2872521,68.62687806,64.63840271,69.20061559,0.775896991,24.00125386,0.0,53.32634066,12.81770833,9.078800154,True,False,True,False,False,False,False,False,False,False,False,False,False,0.0
4,0.1532364,0.533142843,0.095332272,0.095,0.045344811,0.077943673,112.6228096,114.8715114,100.8672073,69.49861009,68.76123967,72.22193129,0.0,13.02493248,0.0,46.08101852,40.67144097,0.222608025,False,False,False,True,False,False,False,False,False,False,False,True,False,38.9
5,0.037483121,0.813919753,0.018187211,0.044712095,0.072782118,0.012915702,120.0988884,118.1732176,106.0446518,53.44690235,53.77126821,56.89428012,0.0,18.31278935,0.0,3.275318287,76.3397473,2.072145062,False,False,False,False,False,False,True,False,False,False,True,True,True,2.9
6,0.03248939,0.457017265,0.208740355,0.291161265,0.009930556,0.000661169,119.4464579,128.4326254,113.5846171,77.04682487,73.42558087,82.69040814,12.13276427,29.49382716,0.0,43.46826775,9.570167824,5.334972994,False,False,False,True,False,False,False,False,False,False,True,False,False,9.5
7,0.02704186,0.507487944,0.26191985,0.13337963,0.067853974,0.002316744,111.1205464,116.1111724,98.68422984,69.85047699,68.33958201,70.79033392,0.0,27.26769869,0.0,23.68320795,48.68909144,0.360001929,False,False,True,False,False,False,True,False,False,False,True,False,False,1.0
8,0.155135995,0.330487076,0.173485725,0.254337384,0.077751254,0.008802566,104.573246,113.7825381,96.29323302,73.17600546,66.46227613,67.39761809,0.289737654,14.10016397,0.0,63.20838156,2.824652778,19.57706404,False,True,False,False,True,False,False,False,False,False,False,False,False,1.5
9,0.065069444,0.338014564,0.283408083,0.24597608,0.059259742,0.008272087,108.884756,116.0812331,100.5020742,70.65280421,65.88471131,67.56052854,3.200279707,23.81066744,0.0,61.4563561,7.443913966,4.088782793,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0
10,0.058977623,0.323363233,0.377811535,0.209130498,0.02998505,0.00073206,107.2486569,124.5232706,96.85363185,68.71639882,69.47211716,65.05155572,2.72419946,14.87418017,0.0,38.00892168,43.03578318,1.356915509,True,True,False,False,False,False,False,False,False,False,True,False,False,0.0
11,0.038066647,0.692861208,0.094314236,0.142231867,0.030394483,0.002131559,122.2763976,124.499632,109.740504,66.9788638,65.16972637,70.46221903,5.909577546,20.66271219,0.0,20.48423032,39.64834105,13.29513889,True,False,True,False,False,False,False,False,False,False,True,False,False,4.7
12,0.030772569,0.423446663,0.143081597,0.289574653,0.111122685,0.002001833,121.1005666,127.4503212,118.4544628,71.20903081,69.14591661,76.81815229,8.36554784,22.24315201,0.0,26.22111304,35.11766975,8.052517361,True,False,True,False,False,False,False,False,False,False,False,False,False,37.8
13,0.041684992,0.568922164,0.128237847,0.13992091,0.108191551,0.013042535,115.7550863,128.7667935,99.17287616,77.3962583,69.82880494,77.79074369,6.825954861,6.829716435,0.0,62.56640625,13.39506173,10.38286073,True,True,False,False,False,False,False,False,False,False,False,False,False,0.0
14,0.172745949,0.489056713,0.098716725,0.232730035,0.006437596,0.000312982,131.7863571,129.2823481,118.4787929,66.20210682,66.47776803,69.1466904,0.081066744,30.81071566,0.0,12.65634645,56.07214506,0.37972608,False,False,False,False,False,False,True,False,False,False,False,True,False,99.8
15,0.057847222,0.751830633,0.089300251,0.078390239,0.009809992,0.012821663,121.9301924,122.8132832,107.837338,59.68075553,61.51286561,65.2182652,0.04451196,9.75462963,0.107783565,30.49353781,57.20302855,2.396508488,False,False,False,False,False,True,False,False,False,False,True,False,False,2.6
16,0.349180652,0.314930556,0.051365741,0.20006848,0.076165606,0.008288966,125.7574195,117.7832398,109.8441459,73.32096017,56.53084451,58.04802458,0.112943673,23.1875,0.0,6.627507716,61.61742863,8.454619985,False,False,False,False,True,False,False,False,True,False,True,False,False,24.3
17,0.0208261,0.374922357,0.091659915,0.460042438,0.049045139,0.003504051,107.4690606,117.3572082,106.9731342,69.65028071,63.4025988,59.87767483,0.0,25.35291281,0.0,17.59953704,47.60378086,9.44376929,False,True,False,False,False,False,True,False,True,False,True,True,False,29.7
18,0.009210069,0.571682099,0.198064236,0.216300637,0.004550058,0.000192901,110.6754331,121.7434896,82.10087963,75.35253363,74.41431646,66.16296577,0.0,10.47588735,0.0,45.08748071,44.01302083,0.423611111,True,False,False,False,False,False,True,False,True,False,False,False,False,27.3
19,0.07462336,0.462503376,0.250524691,0.209582851,0.00243586,0.000329861,105.8312915,112.3217781,87.65687162,74.82166915,71.7742689,72.86230152,0.0,9.108796296,0.0,54.40470679,36.1373939,0.349103009,False,False,False,False,True,False,True,False,True,False,True,False,False,19.1
20,0.01108941,0.360911941,0.238738908,0.211662326,0.177467207,0.000130208,104.6997613,125.1430165,120.8147835,66.21737723,66.62316027,86.96988492,17.16358025,13.38884066,0.0,50.6594811,17.54755015,1.24054784,False,False,False,False,False,False,True,False,False,True,False,False,False,23.5
21,0.081540799,0.374045139,0.272161458,0.235510706,0.035770158,0.00097174,101.1863455,109.6030093,94.8242853,64.27920259,62.8762575,68.42243604,1.202594522,14.87065972,0.0,45.19155093,36.62895448,2.106240355,False,True,False,False,True,False,False,False,True,True,True,False,False,30.3
22,0.064711613,0.560407986,0.206293885,0.116224441,0.05227527,8.68e-05,119.3662645,126.9110503,97.85355179,74.96970518,66.84498994,64.78717767,0.0,19.21219136,0.0,36.15142747,43.72497106,0.911410108,False,True,False,False,True,False,True,False,False,True,False,True,False,48.7
23,0.023682002,0.453127894,0.119954668,0.371024788,0.031491127,0.000719522,118.7154548,123.1574918,110.7934491,71.19292428,68.7208515,71.88445342,0.0,20.48953511,0.0,24.22960069,46.55748457,8.72337963,True,False,True,False,False,False,False,False,True,False,True,False,False,78.1
